t_sec,blue,red,blue_delta,red_delta
0,0,,0,0
1,0,7,0,
2,14,7,14,0
3,14,13,0,6
4,21,20,7,7
5,21,34,0,14
6,28,37,7,3
7,28,44,0,7
8,39,44,11,0
9,39,44,0,0
10,46,44,7,0
11,53,44,7,0
12,53,65,0,21
13,60,69,7,4
14,60,69,0,0
15,60,76,0,7
16,63,76,3,0
17,66,76,3,0
18,69,76,3,0
19,69,76,0,0
20,69,78,0,2
21,69,78,0,0
22,69,78,0,0
23,69,78,0,0
24,69,78,0,0
25,79,82,10,4
26,86,86,7,4
27,86,86,0,0
28,86,90,0,4
29,86,90,0,0
30,90,90,4,0
31,90,90,0,0
32,90,102,0,12
33,90,102,0,0
34,94,102,4,0
35,94,102,0,0
36,94,102,0,0
37,98,102,4,0
38,102,102,4,0
39,102,102,0,0
40,102,102,0,0
41,107,106,5,4
42,107,106,0,0
43,107,110,0,4
44,107,110,0,0
45,107,110,0,0
46,115,115,8,5
47,119,115,4,0
48,119,119,0,4
49,123,119,4,0
50,123,128,0,9
51,123,128,0,0
52,129,132,6,4
53,129,132,0,0
54,129,132,0,0
55,134,136,5,4
56,137,139,3,3
57,137,139,0,0
58,137,142,0,3
59,137,142,0,0
60,140,146,3,4
61,140,150,0,4
62,140,154,0,4
63,140,158,0,4
64,144,162,4,4
65,146,162,2,0
66,146,165,0,3
67,148,165,2,0
68,154,168,6,3
69,157,168,3,0
70,157,172,0,4
71,161,179,4,7
72,161,179,0,0
73,161,179,0,0
74,161,179,0,0
75,166,183,5,4
76,169,187,3,4
77,171,187,2,0
78,171,190,0,3
79,174,190,3,0
80,174,190,0,0
81,174,200,0,10
82,176,200,2,0
83,176,200,0,0
84,176,200,0,0
85,176,202,0,2
86,176,204,0,2
87,176,206,0,2
88,180,206,4,0
89,180,206,0,0
90,180,206,0,0
91,180,206,0,0
92,193,214,13,8
93,193,214,0,0
94,197,214,4,0
95,197,214,0,0
96,197,214,0,0
97,197,214,0,0
98,200,217,3,3
99,200,217,0,0
100,200,219,0,2
101,205,219,5,0
102,205,223,0,4
103,205,225,0,2
104,205,225,0,0
105,208,225,3,0
106,208,225,0,0
107,208,229,0,4
108,208,229,0,0
109,210,231,2,2
110,210,231,0,0
111,214,231,4,0
112,216,235,2,4
113,216,235,0,0
114,216,235,0,0
115,216,237,0,2
116,216,237,0,0
117,218,239,2,2
118,222,239,4,0
119,222,239,0,0
120,222,241,0,2
121,222,243,0,2
122,224,243,2,0
123,224,243,0,0
124,224,243,0,0
125,224,243,0,0
126,224,245,0,2
127,224,245,0,0
128,228,245,4,0
129,228,245,0,0
130,228,245,0,0
131,231,247,3,2
132,231,247,0,0
133,233,247,2,0
134,233,247,0,0
135,237,247,4,0
136,237,249,0,2
137,239,249,2,0
138,239,249,0,0
139,241,251,2,2
140,241,251,0,0
141,241,251,0,0
142,241,253,0,2
143,241,253,0,0
144,241,253,0,0
145,243,259,2,6
146,243,259,0,0
147,243,259,0,0
148,243,259,0,0
149,243,259,0,0
150,243,259,0,0
151,243,259,0,0
152,243,259,0,0
153,243,259,0,0
154,243,259,0,0
155,243,259,0,0
